2021-06-29 12:06:819 INFO  BasePage :33 - Launching Chrome Browser 
2021-06-29 12:06:78 INFO  BasePage :33 - Launching Chrome Browser 
2021-06-29 12:06:144 INFO  BasePage :33 - Launching Chrome Browser 
2021-06-29 12:06:164 INFO  BasePage :33 - Launching Chrome Browser 
2021-06-29 12:06:716 INFO  BasePage :33 - Launching Chrome Browser 
2021-06-29 12:06:481 INFO  BasePage :33 - Launching Chrome Browser 
2021-06-29 12:06:738 INFO  BasePage :33 - Launching Chrome Browser 
2021-06-29 12:06:573 INFO  RegisterationPage :67 - Clicking on Register Link :[[ChromeDriver: chrome on WINDOWS (c1463ad725d5fa1004721e10b6e6f139)] -> xpath: //a[contains( text(), 'Register')]]
2021-06-29 12:06:680 INFO  RegisterationPage :76 - Clicking on Gender Radio Button 'Male'[[ChromeDriver: chrome on WINDOWS (c1463ad725d5fa1004721e10b6e6f139)] -> xpath: //span[@class = 'male']]
2021-06-29 12:06:810 INFO  RegisterationPage :81 - Entering First Name[[ChromeDriver: chrome on WINDOWS (c1463ad725d5fa1004721e10b6e6f139)] -> xpath: //input[@name = 'FirstName']]
2021-06-29 12:06:916 INFO  RegisterationPage :87 - Entering Last Name[[ChromeDriver: chrome on WINDOWS (c1463ad725d5fa1004721e10b6e6f139)] -> xpath: //input[@id = 'LastName']]
2021-06-29 12:06:439 INFO  RegisterationPage :94 - select birth date,month and year  [[ChromeDriver: chrome on WINDOWS (c1463ad725d5fa1004721e10b6e6f139)] -> xpath: //select[@name = 'DateOfBirthDay']][[ChromeDriver: chrome on WINDOWS (c1463ad725d5fa1004721e10b6e6f139)] -> xpath: //select[@name = 'DateOfBirthMonth']][[ChromeDriver: chrome on WINDOWS (c1463ad725d5fa1004721e10b6e6f139)] -> xpath: //select[@name = 'DateOfBirthYear']]
2021-06-29 12:06:591 INFO  RegisterationPage :113 - Entering Email[[ChromeDriver: chrome on WINDOWS (c1463ad725d5fa1004721e10b6e6f139)] -> xpath: //input[@id = 'Email']]
2021-06-29 12:06:712 INFO  RegisterationPage :118 - Entering Company Name[[ChromeDriver: chrome on WINDOWS (c1463ad725d5fa1004721e10b6e6f139)] -> xpath: //input[@id = 'Company']]
2021-06-29 12:06:844 INFO  RegisterationPage :123 - Entering password[[ChromeDriver: chrome on WINDOWS (c1463ad725d5fa1004721e10b6e6f139)] -> xpath: //input[@id = 'Password']]
2021-06-29 12:06:957 INFO  RegisterationPage :128 - Entering Confirm Password[[ChromeDriver: chrome on WINDOWS (c1463ad725d5fa1004721e10b6e6f139)] -> xpath: //input[@id = 'ConfirmPassword']]
2021-06-29 12:06:60 INFO  RegisterationPage :132 - Clicking on Register Button[[ChromeDriver: chrome on WINDOWS (c1463ad725d5fa1004721e10b6e6f139)] -> xpath: //button[@id = 'register-button']]
2021-06-29 12:06:158 INFO  RegisterationPage :135 - Get Registeration Success Page TextProxy element for: DefaultElementLocator 'By.xpath: //div[contains(text(), 'Your registration completed')]'
2021-06-29 12:06:827 INFO  BasePage :33 - Launching Chrome Browser 
2021-06-29 12:06:134 INFO  RegisterationPage :67 - Clicking on Register Link :[[ChromeDriver: chrome on WINDOWS (f898745300d42b82e9422782fca6ae12)] -> xpath: //a[contains( text(), 'Register')]]
2021-06-29 12:06:236 INFO  RegisterationPage :76 - Clicking on Gender Radio Button 'Male'[[ChromeDriver: chrome on WINDOWS (f898745300d42b82e9422782fca6ae12)] -> xpath: //span[@class = 'male']]
2021-06-29 12:06:388 INFO  RegisterationPage :81 - Entering First Name[[ChromeDriver: chrome on WINDOWS (f898745300d42b82e9422782fca6ae12)] -> xpath: //input[@name = 'FirstName']]
